sample_index,source_trace_index,case_id,variant_frequency,trace_length,trace_sha256,alignment_cost
168,472,175162,2,22,fd5383fa9ec8a14ae7681ce699b4a1a9a834b9ed7f3fb49770ba5236f99a52c0,0
169,7722,197737,2,24,b4570ba3a105abeadbb6a63226837e05f73530be45fa6617455218dde6924416,0
170,1202,177471,1,54,7d4f319144e39c288a29f3875472807c7be3206a6bd0ae7a10bdef4d6c2dd1ab,0
171,12613,212914,1,33,c7339c666d96ff5d18662c1d118c655c1153ce44ea69ee3f743b422031231bbd,0
172,5443,190662,1,40,0ef87fbb23b6551d5a4a745a14eae1c1930704a18dd745f02a6ba89f15121186,0
173,6489,193873,1,24,ba6f2b6c14411b34e2166a49f84d4f7b939b5d081f70fdc09a9064a1fab2001f,0
174,11821,210509,1,44,866de733e1fb1c60cd16db6f06fdea57c5ebfba38aa40f3335fdc3744df07d26,0
175,4788,188581,2,28,a9b964fc963c484f278b4d83d885251f91ee4299ff3f29ac6e36905957abfb67,0
176,2496,181523,1,26,c255328e4ded7f36db86932685507979ed2b9cfb3e13079d82777218cc6a2a7b,0
177,11483,209437,1,37,1437e1acd1b1c893283f9945beb2881e3209c1a6eb70be5be72a9184f778be40,0
178,5537,190944,1,40,e7a0a314529f14c6347a94b2fdbfd08151c2e763e1a06594b0ba94f0ce657719,0
179,11489,209455,1,47,5c3d2c6ace65ff446ba2c2c482d651b4652526aeaec2d00428816e09054b7056,0
180,9752,204075,1,35,760f5decac1856e850baed99ac50e971f9a059d747d5c7bcf6461bdb664fe590,0
181,3979,186088,1,66,2ee04eaaa42c447d760485177357b9e635f65191c844473e5e9bc88e6e4773ce,0
182,1703,179065,1,34,3c087a7681a20ed3d906ca3ab23fa87ee3b2687d80c36f93d6add61a5b68dc37,0
183,1774,179278,1,28,16f31ce71bb5af1a944b3cad03b3c7c89748ac494869a43f57f5380c93fc5900,0
184,10397,206099,1,54,25e9d0a4a92a46e3bb613ccb2c687d2a5426b02dff3e2201964bccc06d76a8be,0
185,8378,199762,1,33,3ce9065a01b1aaa5fcb89884edae8e941cd41eed7b955af080761b43607474f5,0
186,10208,205508,1,60,541577791657b82015e69420a1445edde892f405d540032d741c1171be288cbb,0
187,9860,204421,1,38,0139391eed390b8ed4557ee40f65c80f060b8a5c5a5b8a9b3c87c27b15ffb894,0
188,11324,208958,1,42,f9713f00f64e79ee37bfb479072381cfa6ec02f317ca51460dc29bf379ac931a,0
189,872,176428,1,20,269f85614f5dfbc06613abbafc398bd31ead4fbaae7a0874d24d5fc463e40366,0
190,1801,179363,2,27,818d47093e8320b54924a734858cd9b940e82bcf6cb87f4e4765f85d47ba1546,0
191,1000,176813,1,69,a8a32665e804da716bc9f02a157b6a835d86f9a4cc81c43c21edab8544b791a8,0
192,9643,203738,1,31,82ed30ef1a799722268e491936eb17e43b9c037f367a58e625fc0010c02910c6,0
193,7980,198543,1,79,ff7aac45ba5d377df1652e9007cf586e030486ea8f51447102322700df7f4945,0
194,2013,180025,1,52,27f2500241d45e99755f6aff184b09d993fcd78e3e80c72f36f702aafb2040e3,0
195,5691,191416,1,28,eb185fd947aef951cbc33b21a16f470dca6766a8a5e60e1cb6e91e584acb3eed,0
196,4007,186184,5,20,c983ca9cf269a692680b0d1728fb75f01f3f09a231eaf72f0b7a2dce0dfecd5a,0
197,3976,186079,1,44,9112c0e5d0f61f8a1cfd6fd811ef3c1c386c62d0cf8a69bb335a59283d39b8d1,0
198,10789,207302,1,38,9c1965fd06436df20222c56cc58ec21f39fefeefadb6933d074853e1d7b009fd,0
199,2659,182026,1,34,1ac223a065033ae905da27d15daf935b2bf2505671b729db0dc277d8ad3ac5fb,0
200,3779,185473,2,26,2836b4ab38abcfa72d3b1c7d307b2ce018f3dcf38d512c815ce39a113747374c,0
201,11201,208589,1,46,366a812f5814823cff90072575a10669dd1163252fa48777a113628e70add0e9,0
202,5717,191494,1,64,876485f27c6e0c2d1d0be1d91511c6d2b3238cad0b23462befbdb671bcb16969,0
203,1279,177708,1,38,a39c7b848ebaa1619723fb0cefbb9e40380337600b308747a4747e1a6e3e0395,0
204,10625,206793,1,34,e91e6409f3b34b5207aed3974c7382c7f52559c2696b942ee9e789bdfd4b2f77,0
205,1790,179326,1,32,7dfa9341c1637c22050440dd1c41d0a6746d10b7790231a9ad7f8a9fc8c6e8a3,0
206,823,176266,1,24,5aa65f6e1322ccd63650d6ad2aa978ecc714a3354085e77744801eeb874f382e,0
207,209,174337,1,70,fde04b3dc091de4f88e6fe960c816f49874094fe57b3643e8ee38c75b50c9d5d,0
208,1683,179005,1,36,3e5a234e90da5c18fb6ddb286c3c703390b8208d58a7cc4d4cb78ac617921b12,0
209,5406,190543,1,47,db49358fce36cda1669a8ec405952053870e5d4d6c4438b282809a1cfd145dbe,0
210,3247,183844,1,27,3f4ccc68d659fcf875a461e17b9523748d0829406cfae442ea5d97c5146a5c50,0
211,9741,204042,1,35,471b1ecb7394a297f470f434fa63b8a7d0c9015d7b8538fe2912b6b9ac305b47,0
212,11823,210513,1,29,693eaa41b4c64b9a25e8a9fd4a8b69111e6d63751f5a33239ea6ae096fbc475f,0
213,11705,210161,3,32,8de39cf58197e2ce847cc1490c4381a7691790f071c0d8919b570d21f7ff6ec0,0
214,4779,188554,1,49,9d863d79a70864e26876b1f9f7222904dc49668d7deefe2421a6efb8c06676cb,0
215,9580,203549,1,39,6443a3f3aab1519d071da7d906d7bbdbf696eca3521b3da37650896c5448e4af,0
216,964,176705,1,42,f40f45d628f995ee8d0fa47e1d370b69caea573821868a17292501770ad1030a,0
217,3170,183594,1,48,95ea68b339e7fe80b7d4aaf99feccbe8153bf4aba0074f0ebd362b8717f8c776,0
218,9036,201833,1,43,b1189a21b49d6657f94e44a4b263d644fbc751166f90709f54ce24bc2252f2eb,0
219,20,173745,7,19,9b5929e1094880903292a8e6f8bbf661c0aa88227a1006705d8c177c2fa12092,0
220,9351,202830,1,31,210de36b1703b6e9be098ccc3c43aee3e893eca23a5a46712aaa574563e8b6ca,0
221,6106,192704,1,48,eb7cd44d45a426df835dfa9cbb1ce34939df6ef2e757c767324a6a8cf88e4d14,0
222,11012,208022,1,32,ceba7977f7b42c4ae33bbebc77687312b27f5d618dad912f467639eaae79e5be,0
223,6641,194353,1,97,3ba2e3523e0bb7a15962453de6aaf099ba4126867f8e8a25085f833f3cf8b7b6,0
224,10197,205459,1,47,ba748a88db5e1953fa9539daa28baa8b027b616eff0fa08a432b550e7646483e,0
225,11846,210584,3,18,5e6fc31486598c34c034754018ecb80645c870d708f4eed7f9f1269af7532309,0
226,2946,182897,1,37,c25b239c16067dae61af6c2f3bc1e57fca30828527c6dbeaf4b6f106b56fd601,0
227,3971,186056,1,38,30d90294cce8a76eb4e0ec263a7739d6680e0401b5b258d8d88a706015fea2fe,0
228,6911,195226,1,36,cbb7dd546936910996466801665ea0557e890257f2f4e5740783515f19c1b471,0
229,4893,188947,1,25,ff3d4317c48d963994738da7f24922dbcea0e620ec12f0ad51bf01fa615e1a1c,0
230,961,176696,2,29,cd07d9348878328a6126df2645de0c3f7f389007263d10b7978dd7f3f6ba6204,0
231,1004,176825,3,34,ee8b4c96ecb1c43a2247f9d86bc04f17baaed293f08334dbecc8765690f33435,0
232,7326,196515,1,51,3fcd6127b2d429893b507616d227f3042f6c26a345528dbda3849f27df4bde24,0
233,932,176608,2,39,252b3581a404a6b1f23b2036cc19b00f0e043176281d61fad21d75e727211ffe,0
234,797,176188,3,33,ad35129a9b1a231a2a5dca727f48c965f896b97be2c9d2eb8a6f2df6053d6d34,0
235,11564,209712,1,56,1dfc0b468782c4e6466aeb6d7a1c5b123f3897cca8c55dc745756ee8402abafc,0
236,12295,211946,1,35,4dd85defe8c2df4ab7b5b85066b83c9e8eae0900565bec17c0c7b1b5609b0262,0
237,13037,214226,1,40,4f70d4cd86122487bc3bb1cda18d097ade7c962a0fd1ce48b371615aa96bdbf0,0
238,3018,183118,1,30,d52752648a58eecc0c08708729cab19ea23fdb068da55a55499f947b170c4d10,0
239,926,176590,1,44,e99f42115a0ae0d83c0c3caf13522fbf06819668d556451662570204dad6f59d,0
240,12436,212383,1,28,99f1fdcef6db0b85e6d1c6fecd2e7345fc7440a167f298576bb7f4ea698bf52a,0
241,1395,178080,9,20,98dfda5dfeb4c5dac9620ae901decebcbe88c3f23b6345177bb93e4d1a660984,0
242,3852,185692,1,32,08ad1d4d9571cd0a265bb1a8a66e4381c661766d85658c123759729b5d70e294,0
243,1150,177299,1,50,51703b71bafb0a931b7b010dc15fd54d9a9d805b85bf5996329ad96cdb36da5c,0
244,1134,177251,1,30,ad8ea3b7a6f40c7f78c8a32adb16bc4e5d1f19e29659a1d427563256e134643d,0
245,5366,190423,1,66,8c4cfae5dfd5a581b50eee3176f48afba5986f421be866f5252dc5861ae754a8,0
246,9663,203808,1,35,be23d53d775692c0acd287a3cc3eb6a15c66b5b6ee34f002bc6ec8d88110a221,0
